instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weekday_name,is_weekend,hour_group,weather_name
27,2011-01-02,1,0,1,2,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Winter,Sunday,1,Night,Mist
28,2011-01-02,1,0,1,3,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Winter,Sunday,1,Night,Mist
29,2011-01-02,1,0,1,4,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Winter,Sunday,1,Night,Mist
30,2011-01-02,1,0,1,6,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Winter,Sunday,1,Morning,Light Snow/Rain
31,2011-01-02,1,0,1,7,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Winter,Sunday,1,Morning,Mist
32,2011-01-02,1,0,1,8,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Winter,Sunday,1,Morning,Light Snow/Rain
33,2011-01-02,1,0,1,9,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Winter,Sunday,1,Morning,Mist
34,2011-01-02,1,0,1,10,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Winter,Sunday,1,Morning,Mist
35,2011-01-02,1,0,1,11,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Winter,Sunday,1,Morning,Mist
36,2011-01-02,1,0,1,12,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Winter,Sunday,1,Afternoon,Mist
37,2011-01-02,1,0,1,13,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Winter,Sunday,1,Afternoon,Mist
38,2011-01-02,1,0,1,14,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Winter,Sunday,1,Afternoon,Light Snow/Rain
39,2011-01-02,1,0,1,15,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Winter,Sunday,1,Afternoon,Light Snow/Rain
40,2011-01-02,1,0,1,16,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Winter,Sunday,1,Afternoon,Light Snow/Rain
41,2011-01-02,1,0,1,17,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Winter,Sunday,1,Afternoon,Clear
42,2011-01-02,1,0,1,18,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Winter,Sunday,1,Evening,Mist
43,2011-01-02,1,0,1,19,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Winter,Sunday,1,Evening,Clear
44,2011-01-02,1,0,1,20,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Winter,Sunday,1,Evening,Clear
45,2011-01-02,1,0,1,21,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Winter,Sunday,1,Evening,Clear
46,2011-01-02,1,0,1,22,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Winter,Sunday,1,Evening,Clear
47,2011-01-02,1,0,1,23,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Winter,Sunday,1,Evening,Clear
48,2011-01-03,1,0,1,0,0,1,1,0.22,0.197,0.44,0.3582,0,5,5,Winter,Monday,0,Night,Clear
49,2011-01-03,1,0,1,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Winter,Monday,0,Night,Clear
50,2011-01-03,1,0,1,4,0,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Winter,Monday,0,Night,Clear
51,2011-01-03,1,0,1,5,0,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Winter,Monday,0,Night,Clear
52,2011-01-03,1,0,1,6,0,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Winter,Monday,0,Morning,Clear
53,2011-01-03,1,0,1,7,0,1,1,0.14,0.1364,0.5,0.194,1,63,64,Winter,Monday,0,Morning,Clear
54,2011-01-03,1,0,1,8,0,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Winter,Monday,0,Morning,Clear
55,2011-01-03,1,0,1,9,0,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Winter,Monday,0,Morning,Clear
56,2011-01-03,1,0,1,10,0,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Winter,Monday,0,Morning,Clear
57,2011-01-03,1,0,1,11,0,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Winter,Monday,0,Morning,Clear
58,2011-01-03,1,0,1,12,0,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Winter,Monday,0,Afternoon,Clear
59,2011-01-03,1,0,1,13,0,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Winter,Monday,0,Afternoon,Clear
60,2011-01-03,1,0,1,14,0,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Winter,Monday,0,Afternoon,Clear
61,2011-01-03,1,0,1,15,0,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Winter,Monday,0,Afternoon,Clear
62,2011-01-03,1,0,1,16,0,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Winter,Monday,0,Afternoon,Clear
63,2011-01-03,1,0,1,17,0,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Winter,Monday,0,Afternoon,Clear
64,2011-01-03,1,0,1,18,0,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Winter,Monday,0,Evening,Clear
65,2011-01-03,1,0,1,19,0,1,1,0.2,0.2576,0.47,0.0,8,102,110,Winter,Monday,0,Evening,Clear
66,2011-01-03,1,0,1,20,0,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Winter,Monday,0,Evening,Clear
67,2011-01-03,1,0,1,21,0,1,1,0.18,0.197,0.64,0.1343,3,49,52,Winter,Monday,0,Evening,Clear
68,2011-01-03,1,0,1,22,0,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Winter,Monday,0,Evening,Clear
69,2011-01-03,1,0,1,23,0,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Winter,Monday,0,Evening,Clear
70,2011-01-04,1,0,1,0,0,2,1,0.16,0.1818,0.55,0.1045,0,5,5,Winter,Tuesday,0,Night,Clear
71,2011-01-04,1,0,1,1,0,2,1,0.16,0.1818,0.59,0.1045,0,2,2,Winter,Tuesday,0,Night,Clear
72,2011-01-04,1,0,1,2,0,2,1,0.14,0.1515,0.63,0.1343,0,1,1,Winter,Tuesday,0,Night,Clear
73,2011-01-04,1,0,1,4,0,2,1,0.14,0.1818,0.63,0.0896,0,2,2,Winter,Tuesday,0,Night,Clear
74,2011-01-04,1,0,1,5,0,2,1,0.12,0.1515,0.68,0.1045,0,4,4,Winter,Tuesday,0,Night,Clear
75,2011-01-04,1,0,1,6,0,2,1,0.12,0.1515,0.74,0.1045,0,36,36,Winter,Tuesday,0,Morning,Clear
76,2011-01-04,1,0,1,7,0,2,1,0.12,0.1515,0.74,0.1343,2,92,94,Winter,Tuesday,0,Morning,Clear
77,2011-01-04,1,0,1,8,0,2,1,0.14,0.1515,0.69,0.1642,2,177,179,Winter,Tuesday,0,Morning,Clear
78,2011-01-04,1,0,1,9,0,2,1,0.16,0.1515,0.64,0.2239,2,98,100,Winter,Tuesday,0,Morning,Clear
79,2011-01-04,1,0,1,10,0,2,2,0.16,0.1364,0.69,0.3284,5,37,42,Winter,Tuesday,0,Morning,Mist
80,2011-01-04,1,0,1,11,0,2,1,0.22,0.2121,0.51,0.2985,7,50,57,Winter,Tuesday,0,Morning,Clear
81,2011-01-04,1,0,1,12,0,2,1,0.22,0.2273,0.51,0.1642,12,66,78,Winter,Tuesday,0,Afternoon,Clear
82,2011-01-04,1,0,1,13,0,2,1,0.24,0.2273,0.56,0.194,18,79,97,Winter,Tuesday,0,Afternoon,Clear
83,2011-01-04,1,0,1,14,0,2,1,0.26,0.2576,0.52,0.2239,9,54,63,Winter,Tuesday,0,Afternoon,Clear
84,2011-01-04,1,0,1,15,0,2,1,0.28,0.2727,0.52,0.2537,17,48,65,Winter,Tuesday,0,Afternoon,Clear
85,2011-01-04,1,0,1,16,0,2,1,0.3,0.2879,0.49,0.2537,15,68,83,Winter,Tuesday,0,Afternoon,Clear
86,2011-01-04,1,0,1,17,0,2,1,0.28,0.2727,0.48,0.2239,10,202,212,Winter,Tuesday,0,Afternoon,Clear
87,2011-01-04,1,0,1,18,0,2,1,0.26,0.2576,0.48,0.194,3,179,182,Winter,Tuesday,0,Evening,Clear
88,2011-01-04,1,0,1,19,0,2,1,0.24,0.2576,0.48,0.1045,2,110,112,Winter,Tuesday,0,Evening,Clear
89,2011-01-04,1,0,1,20,0,2,1,0.24,0.2576,0.48,0.1045,1,53,54,Winter,Tuesday,0,Evening,Clear
90,2011-01-04,1,0,1,21,0,2,1,0.22,0.2727,0.64,0.0,0,48,48,Winter,Tuesday,0,Evening,Clear
91,2011-01-04,1,0,1,22,0,2,1,0.22,0.2576,0.64,0.0896,1,34,35,Winter,Tuesday,0,Evening,Clear
92,2011-01-04,1,0,1,23,0,2,1,0.2,0.2273,0.69,0.0896,2,9,11,Winter,Tuesday,0,Evening,Clear
93,2011-01-05,1,0,1,0,0,3,1,0.2,0.2576,0.64,0.0,0,6,6,Winter,Wednesday,0,Night,Clear
94,2011-01-05,1,0,1,1,0,3,1,0.16,0.197,0.74,0.0896,0,6,6,Winter,Wednesday,0,Night,Clear
95,2011-01-05,1,0,1,2,0,3,1,0.16,0.197,0.74,0.0896,0,2,2,Winter,Wednesday,0,Night,Clear
96,2011-01-05,1,0,1,4,0,3,1,0.24,0.2273,0.48,0.2239,0,2,2,Winter,Wednesday,0,Night,Clear
97,2011-01-05,1,0,1,5,0,3,1,0.22,0.2273,0.47,0.1642,0,3,3,Winter,Wednesday,0,Night,Clear
98,2011-01-05,1,0,1,6,0,3,1,0.2,0.197,0.47,0.2239,0,33,33,Winter,Wednesday,0,Morning,Clear
99,2011-01-05,1,0,1,7,0,3,1,0.18,0.1818,0.43,0.194,1,87,88,Winter,Wednesday,0,Morning,Clear
100,2011-01-05,1,0,1,8,0,3,1,0.2,0.1818,0.4,0.2985,3,192,195,Winter,Wednesday,0,Morning,Clear
101,2011-01-05,1,0,1,9,0,3,1,0.22,0.197,0.37,0.3284,6,109,115,Winter,Wednesday,0,Morning,Clear
102,2011-01-05,1,0,1,10,0,3,1,0.22,0.197,0.37,0.3284,4,53,57,Winter,Wednesday,0,Morning,Clear
103,2011-01-05,1,0,1,11,0,3,1,0.26,0.2273,0.33,0.3284,12,34,46,Winter,Wednesday,0,Morning,Clear
104,2011-01-05,1,0,1,12,0,3,1,0.26,0.2273,0.33,0.3284,5,74,79,Winter,Wednesday,0,Afternoon,Clear
105,2011-01-05,1,0,1,13,0,3,1,0.28,0.2576,0.3,0.2985,6,65,71,Winter,Wednesday,0,Afternoon,Clear
106,2011-01-05,1,0,1,14,0,3,1,0.3,0.2879,0.28,0.194,10,52,62,Winter,Wednesday,0,Afternoon,Clear
107,2011-01-05,1,0,1,15,0,3,1,0.3,0.2879,0.28,0.194,7,55,62,Winter,Wednesday,0,Afternoon,Clear
108,2011-01-05,1,0,1,16,0,3,1,0.3,0.3182,0.28,0.0896,4,85,89,Winter,Wednesday,0,Afternoon,Clear
109,2011-01-05,1,0,1,17,0,3,1,0.24,0.2273,0.38,0.194,4,186,190,Winter,Wednesday,0,Afternoon,Clear
110,2011-01-05,1,0,1,18,0,3,1,0.24,0.2424,0.38,0.1343,3,166,169,Winter,Wednesday,0,Evening,Clear
111,2011-01-05,1,0,1,19,0,3,1,0.24,0.2576,0.38,0.1045,5,127,132,Winter,Wednesday,0,Evening,Clear
112,2011-01-05,1,0,1,20,0,3,1,0.22,0.2273,0.47,0.1642,7,82,89,Winter,Wednesday,0,Evening,Clear
113,2011-01-05,1,0,1,21,0,3,1,0.2,0.197,0.51,0.194,3,40,43,Winter,Wednesday,0,Evening,Clear
114,2011-01-05,1,0,1,22,0,3,1,0.18,0.197,0.55,0.1343,1,41,42,Winter,Wednesday,0,Evening,Clear
115,2011-01-05,1,0,1,23,0,3,1,0.2,0.2576,0.47,0.0,1,18,19,Winter,Wednesday,0,Evening,Clear
116,2011-01-06,1,0,1,0,0,4,1,0.18,0.2424,0.55,0.0,0,11,11,Winter,Thursday,0,Night,Clear
117,2011-01-06,1,0,1,1,0,4,1,0.16,0.2273,0.64,0.0,0,4,4,Winter,Thursday,0,Night,Clear
118,2011-01-06,1,0,1,2,0,4,1,0.16,0.2273,0.64,0.0,0,2,2,Winter,Thursday,0,Night,Clear
119,2011-01-06,1,0,1,4,0,4,2,0.16,0.197,0.64,0.0896,0,1,1,Winter,Thursday,0,Night,Mist
120,2011-01-06,1,0,1,5,0,4,2,0.14,0.1818,0.69,0.0896,0,4,4,Winter,Thursday,0,Night,Mist
121,2011-01-06,1,0,1,6,0,4,2,0.14,0.1667,0.63,0.1045,0,36,36,Winter,Thursday,0,Morning,Mist
122,2011-01-06,1,0,1,7,0,4,2,0.16,0.2273,0.59,0.0,0,95,95,Winter,Thursday,0,Morning,Mist
123,2011-01-06,1,0,1,8,0,4,1,0.16,0.2273,0.59,0.0,3,216,219,Winter,Thursday,0,Morning,Clear
124,2011-01-06,1,0,1,9,0,4,2,0.18,0.2424,0.51,0.0,6,116,122,Winter,Thursday,0,Morning,Mist
125,2011-01-06,1,0,1,10,0,4,1,0.2,0.2576,0.47,0.0,3,42,45,Winter,Thursday,0,Morning,Clear
126,2011-01-06,1,0,1,11,0,4,1,0.22,0.2576,0.44,0.0896,2,57,59,Winter,Thursday,0,Morning,Clear
127,2011-01-06,1,0,1,12,0,4,1,0.26,0.2879,0.35,0.0,6,78,84,Winter,Thursday,0,Afternoon,Clear
128,2011-01-06,1,0,1,13,0,4,1,0.26,0.2727,0.35,0.1045,12,55,67,Winter,Thursday,0,Afternoon,Clear
129,2011-01-06,1,0,1,14,0,4,1,0.28,0.2727,0.36,0.1642,11,59,70,Winter,Thursday,0,Afternoon,Clear
130,2011-01-06,1,0,1,15,0,4,1,0.28,0.2727,0.36,0.0,8,54,62,Winter,Thursday,0,Afternoon,Clear
131,2011-01-06,1,0,1,16,0,4,1,0.26,0.2576,0.38,0.1642,12,74,86,Winter,Thursday,0,Afternoon,Clear
132,2011-01-06,1,0,1,17,0,4,1,0.22,0.2273,0.51,0.1642,9,163,172,Winter,Thursday,0,Afternoon,Clear
133,2011-01-06,1,0,1,18,0,4,1,0.22,0.2273,0.51,0.1343,5,158,163,Winter,Thursday,0,Evening,Clear
134,2011-01-06,1,0,1,19,0,4,1,0.22,0.2576,0.55,0.0896,3,109,112,Winter,Thursday,0,Evening,Clear
135,2011-01-06,1,0,1,20,0,4,1,0.2,0.2121,0.51,0.1642,3,66,69,Winter,Thursday,0,Evening,Clear
136,2011-01-06,1,0,1,21,0,4,2,0.22,0.2121,0.55,0.2239,0,48,48,Winter,Thursday,0,Evening,Mist
137,2011-01-06,1,0,1,22,0,4,2,0.22,0.2121,0.51,0.2836,1,51,52,Winter,Thursday,0,Evening,Mist
138,2011-01-06,1,0,1,23,0,4,2,0.2,0.197,0.59,0.194,4,19,23,Winter,Thursday,0,Evening,Mist
139,2011-01-07,1,0,1,0,0,5,2,0.2,0.197,0.64,0.194,4,13,17,Winter,Friday,0,Night,Mist
140,2011-01-07,1,0,1,1,0,5,2,0.2,0.197,0.69,0.2239,2,5,7,Winter,Friday,0,Night,Mist
141,2011-01-07,1,0,1,2,0,5,2,0.2,0.197,0.69,0.2239,0,1,1,Winter,Friday,0,Night,Mist
142,2011-01-07,1,0,1,4,0,5,2,0.2,0.2121,0.69,0.1343,0,1,1,Winter,Friday,0,Night,Mist
143,2011-01-07,1,0,1,5,0,5,3,0.22,0.2727,0.55,0.0,0,5,5,Winter,Friday,0,Night,Light Snow/Rain
144,2011-01-07,1,0,1,6,0,5,2,0.2,0.2576,0.69,0.0,8,26,34,Winter,Friday,0,Morning,Mist
145,2011-01-07,1,0,1,7,0,5,1,0.2,0.2121,0.69,0.1343,8,76,84,Winter,Friday,0,Morning,Clear
146,2011-01-07,1,0,1,8,0,5,1,0.2,0.197,0.51,0.2537,20,190,210,Winter,Friday,0,Morning,Clear
147,2011-01-07,1,0,1,9,0,5,1,0.2,0.1818,0.47,0.2985,9,125,134,Winter,Friday,0,Morning,Clear
148,2011-01-07,1,0,1,10,0,5,1,0.22,0.197,0.37,0.3284,16,47,63,Winter,Friday,0,Morning,Clear
149,2011-01-07,1,0,1,11,0,5,2,0.2,0.197,0.4,0.2239,19,48,67,Winter,Friday,0,Morning,Mist
150,2011-01-07,1,0,1,12,0,5,2,0.2,0.197,0.37,0.2537,9,50,59,Winter,Friday,0,Afternoon,Mist
151,2011-01-07,1,0,1,13,0,5,2,0.2,0.1818,0.37,0.2836,9,64,73,Winter,Friday,0,Afternoon,Mist
152,2011-01-07,1,0,1,14,0,5,2,0.2,0.197,0.4,0.2537,7,43,50,Winter,Friday,0,Afternoon,Mist
153,2011-01-07,1,0,1,15,0,5,2,0.2,0.2121,0.37,0.1642,9,63,72,Winter,Friday,0,Afternoon,Mist
154,2011-01-07,1,0,1,16,0,5,2,0.2,0.2121,0.37,0.1642,5,82,87,Winter,Friday,0,Afternoon,Mist
155,2011-01-07,1,0,1,17,0,5,2,0.2,0.2576,0.37,0.0,9,178,187,Winter,Friday,0,Afternoon,Mist
156,2011-01-07,1,0,1,18,0,5,1,0.2,0.2273,0.4,0.0896,7,116,123,Winter,Friday,0,Evening,Clear
157,2011-01-07,1,0,1,19,0,5,1,0.16,0.197,0.55,0.0896,3,92,95,Winter,Friday,0,Evening,Clear
158,2011-01-07,1,0,1,20,0,5,1,0.18,0.2121,0.47,0.1045,1,50,51,Winter,Friday,0,Evening,Clear
159,2011-01-07,1,0,1,21,0,5,1,0.18,0.197,0.47,0.1343,0,39,39,Winter,Friday,0,Evening,Clear
160,2011-01-07,1,0,1,22,0,5,2,0.18,0.197,0.43,0.1642,2,34,36,Winter,Friday,0,Evening,Mist
161,2011-01-07,1,0,1,23,0,5,2,0.18,0.197,0.51,0.1642,1,14,15,Winter,Friday,0,Evening,Mist
162,2011-01-08,1,0,1,0,0,6,2,0.18,0.197,0.51,0.1642,1,24,25,Winter,Saturday,1,Night,Mist
163,2011-01-08,1,0,1,1,0,6,2,0.18,0.2121,0.55,0.0896,1,15,16,Winter,Saturday,1,Night,Mist
164,2011-01-08,1,0,1,2,0,6,2,0.18,0.2424,0.55,0.0,3,13,16,Winter,Saturday,1,Night,Mist
165,2011-01-08,1,0,1,3,0,6,3,0.18,0.197,0.55,0.1642,0,7,7,Winter,Saturday,1,Night,Light Snow/Rain
166,2011-01-08,1,0,1,4,0,6,3,0.18,0.197,0.55,0.1642,0,1,1,Winter,Saturday,1,Night,Light Snow/Rain
167,2011-01-08,1,0,1,5,0,6,2,0.16,0.1667,0.74,0.1642,0,5,5,Winter,Saturday,1,Night,Mist
168,2011-01-08,1,0,1,6,0,6,2,0.16,0.1667,0.74,0.1642,0,2,2,Winter,Saturday,1,Morning,Mist
169,2011-01-08,1,0,1,7,0,6,2,0.16,0.1818,0.74,0.1045,1,8,9,Winter,Saturday,1,Morning,Mist
170,2011-01-08,1,0,1,8,0,6,3,0.16,0.1818,0.93,0.1045,0,15,15,Winter,Saturday,1,Morning,Light Snow/Rain
171,2011-01-08,1,0,1,9,0,6,3,0.16,0.1818,0.93,0.1045,0,20,20,Winter,Saturday,1,Morning,Light Snow/Rain
172,2011-01-08,1,0,1,10,0,6,2,0.18,0.197,0.8,0.1642,5,56,61,Winter,Saturday,1,Morning,Mist
173,2011-01-08,1,0,1,11,0,6,2,0.2,0.1818,0.69,0.3881,2,60,62,Winter,Saturday,1,Morning,Mist
174,2011-01-08,1,0,1,12,0,6,2,0.2,0.1818,0.59,0.3582,8,90,98,Winter,Saturday,1,Afternoon,Mist
175,2011-01-08,1,0,1,13,0,6,1,0.2,0.1818,0.44,0.3284,7,95,102,Winter,Saturday,1,Afternoon,Clear
176,2011-01-08,1,0,1,14,0,6,1,0.2,0.1667,0.32,0.4925,12,83,95,Winter,Saturday,1,Afternoon,Clear
177,2011-01-08,1,0,1,15,0,6,1,0.2,0.1667,0.32,0.4478,5,69,74,Winter,Saturday,1,Afternoon,Clear
178,2011-01-08,1,0,1,16,0,6,1,0.18,0.1364,0.29,0.4478,8,68,76,Winter,Saturday,1,Afternoon,Clear
179,2011-01-08,1,0,1,17,0,6,1,0.16,0.1212,0.37,0.5522,5,64,69,Winter,Saturday,1,Afternoon,Clear
180,2011-01-08,1,0,1,18,0,6,1,0.14,0.1212,0.39,0.2985,3,52,55,Winter,Saturday,1,Evening,Clear
181,2011-01-08,1,0,1,19,0,6,1,0.14,0.1212,0.36,0.2537,4,26,30,Winter,Saturday,1,Evening,Clear
182,2011-01-08,1,0,1,20,0,6,1,0.12,0.1212,0.36,0.2537,0,28,28,Winter,Saturday,1,Evening,Clear
183,2011-01-08,1,0,1,21,0,6,1,0.12,0.1061,0.39,0.3582,2,35,37,Winter,Saturday,1,Evening,Clear
184,2011-01-08,1,0,1,22,0,6,1,0.12,0.1061,0.36,0.3881,1,33,34,Winter,Saturday,1,Evening,Clear
185,2011-01-08,1,0,1,23,0,6,1,0.1,0.0606,0.39,0.4478,0,22,22,Winter,Saturday,1,Evening,Clear
186,2011-01-09,1,0,1,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Winter,Sunday,1,Night,Clear
187,2011-01-09,1,0,1,1,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Winter,Sunday,1,Night,Clear
188,2011-01-09,1,0,1,2,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Winter,Sunday,1,Night,Clear
189,2011-01-09,1,0,1,3,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Winter,Sunday,1,Night,Clear
190,2011-01-09,1,0,1,4,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Winter,Sunday,1,Night,Clear
191,2011-01-09,1,0,1,5,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Winter,Sunday,1,Night,Clear
192,2011-01-09,1,0,1,6,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Winter,Sunday,1,Morning,Clear
193,2011-01-09,1,0,1,7,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Winter,Sunday,1,Morning,Clear
194,2011-01-09,1,0,1,8,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Winter,Sunday,1,Morning,Clear
195,2011-01-09,1,0,1,9,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Winter,Sunday,1,Morning,Clear
196,2011-01-09,1,0,1,10,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Winter,Sunday,1,Morning,Clear
197,2011-01-09,1,0,1,11,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Winter,Sunday,1,Morning,Clear
198,2011-01-09,1,0,1,12,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Winter,Sunday,1,Afternoon,Clear
199,2011-01-09,1,0,1,13,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Winter,Sunday,1,Afternoon,Clear
200,2011-01-09,1,0,1,14,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Winter,Sunday,1,Afternoon,Clear
201,2011-01-09,1,0,1,15,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Winter,Sunday,1,Afternoon,Clear
202,2011-01-09,1,0,1,16,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Winter,Sunday,1,Afternoon,Clear
203,2011-01-09,1,0,1,17,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Winter,Sunday,1,Afternoon,Clear
204,2011-01-09,1,0,1,18,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Winter,Sunday,1,Evening,Clear
205,2011-01-09,1,0,1,19,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Winter,Sunday,1,Evening,Clear
206,2011-01-09,1,0,1,20,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Winter,Sunday,1,Evening,Clear
207,2011-01-09,1,0,1,21,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Winter,Sunday,1,Evening,Clear
208,2011-01-09,1,0,1,22,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Winter,Sunday,1,Evening,Clear
